date,region,product_id,revenue,cost,quantity
2025-11-11,South,P017,580.38,112.44,4
2025-11-08,West,P009,206.63,92.14,2
2025-11-08,North,P020,1146.48,94.27,9
2025-11-10,East,P008,1497.52,196.47,6
2025-11-07,South,P001,99.29,80.96,1
2025-11-08,South,P020,746.61,183.75,3
2025-11-06,South,P017,1380.56,195.09,6
2025-11-12,North,P004,893.33,155.63,4
2025-11-09,East,P019,1739.79,178.21,7
2025-11-09,West,P019,293.62,118.43,2
2025-11-08,West,P003,217.26,165.47,1
2025-11-10,East,P013,900.39,148.83,5
2025-11-12,South,P019,1644.61,160.7,7
2025-11-07,East,P001,239.06,103.19,2
2025-11-06,North,P005,210.73,151.23,1
2025-11-10,North,P018,668.25,192.47,3
2025-11-06,South,P017,580.57,51.55,9
2025-11-12,West,P014,446.2,99.36,3
2025-11-07,North,P020,616.61,124.64,4
2025-11-06,North,P005,861.83,63.62,10
2025-11-06,South,P004,528.97,197.13,2
2025-11-09,South,P004,199.38,153.29,1
2025-11-06,South,P018,1710.49,124.98,10
2025-11-09,East,P020,606.28,140.01,3
2025-11-09,East,P019,139.01,115.12,1
2025-11-10,South,P016,1418.98,117.22,9
2025-11-06,West,P017,1227.51,131.22,7
2025-11-09,East,P002,1854.5,143.24,9
2025-11-10,South,P014,2287.49,193.78,9
2025-11-12,West,P009,1786.32,169.2,8
2025-11-09,South,P006,229.28,61.21,3
2025-11-11,East,P004,714.68,108.32,5
2025-11-06,North,P005,1584.85,193.9,7
2025-11-06,South,P010,569.49,143.23,3
2025-11-06,West,P013,825.49,105.08,7
2025-11-08,North,P004,778.93,161.82,4
2025-11-07,East,P017,745.5,65.62,10
2025-11-12,West,P018,1757.44,152.55,10
2025-11-09,South,P006,1052.01,148.68,5
2025-11-10,East,P016,286.64,111.63,2
2025-11-10,East,P005,1534.53,137.42,8
2025-11-11,West,P004,679.99,54.3,9
2025-11-11,East,P018,146.81,62.01,2
2025-11-07,North,P015,945.09,169.06,4
2025-11-12,East,P008,1205.73,100.45,9
2025-11-08,East,P003,215.91,75.42,2
2025-11-10,North,P018,715.29,70.8,8
2025-11-11,East,P019,1191.94,147.71,6
2025-11-07,East,P010,353.85,147.84,2
2025-11-07,North,P009,1037.07,119.05,6
2025-11-11,South,P007,1984.82,199.5,7
2025-11-07,North,P017,1939.26,147.11,10
2025-11-11,East,P004,340.75,101.51,3
2025-11-12,West,P007,1999.47,177.7,8
2025-11-11,West,P013,2080.72,169.94,9
2025-11-12,East,P006,266.33,186.66,1
2025-11-09,East,P016,2023.48,197.78,8
2025-11-07,North,P016,534.62,126.99,3
2025-11-09,East,P003,629.22,113.88,5
2025-11-07,West,P011,153.08,116.61,1
2025-11-12,North,P015,1114.42,167.79,5
2025-11-11,North,P012,1180.51,101.04,9
2025-11-11,South,P009,218.73,59.7,3
2025-11-12,North,P017,513.7,132.19,3
2025-11-07,North,P016,747.66,185.73,3
2025-11-08,West,P020,2151.71,168.79,10
2025-11-07,East,P008,759.47,93.28,6
2025-11-10,East,P013,1640.09,194.18,6
2025-11-06,West,P008,243.4,93.02,2
2025-11-06,West,P007,249.98,100.57,2
2025-11-10,West,P017,105.12,94.28,1
2025-11-11,West,P013,2015.39,154.36,9
2025-11-07,East,P009,483.34,106.86,4
2025-11-09,West,P004,1386.4,107.32,10
2025-11-12,South,P019,622.16,59.72,8
2025-11-06,East,P016,378.01,155.39,2
2025-11-11,West,P005,166.27,124.21,1
2025-11-11,East,P011,144.34,127.99,1
2025-11-08,South,P002,438.51,64.05,5
2025-11-10,South,P016,1042.91,112.31,7
2025-11-08,North,P004,642.47,64.11,8
2025-11-09,East,P008,744.1,96.83,6
2025-11-06,West,P013,990.32,162.6,5
2025-11-08,East,P002,131.75,53.28,2
2025-11-10,North,P004,799.21,64.58,9
2025-11-06,South,P005,1241.3,153.36,7
2025-11-08,East,P006,686.88,157.63,3
2025-11-09,South,P009,249.51,106.79,2
2025-11-07,West,P015,923.04,80.99,9
2025-11-07,South,P014,504.55,92.62,4
2025-11-11,South,P019,504.44,144.62,3
2025-11-09,South,P009,1411.71,173.75,6
2025-11-07,West,P019,1408.37,160.65,6
2025-11-06,East,P002,665.13,157.96,3
2025-11-06,North,P001,103.51,75.99,1
2025-11-06,North,P013,117.03,96.98,1
2025-11-09,West,P011,1573.58,198.26,6
2025-11-12,West,P016,1276.55,176.34,5
2025-11-10,North,P008,1369.95,120.26,9
2025-11-12,South,P007,789.32,109.45,5
2025-11-12,West,P007,674.39,65.05,8
2025-11-10,East,P009,1425.61,158.84,8
2025-11-10,West,P007,1594.25,119.71,10
2025-11-11,West,P016,1990.81,174.63,9
2025-11-11,East,P017,319.44,53.59,5
2025-11-11,West,P014,1692.02,190.69,6
2025-11-11,South,P006,226.37,60.5,3
2025-11-09,South,P007,1534.24,153.9,7
2025-11-09,West,P018,1266.22,174.66,6
2025-11-09,West,P001,128.46,101.79,1
2025-11-06,West,P002,1010.87,121.89,7
2025-11-10,South,P006,738.45,130.21,4
2025-11-07,South,P015,694.14,143.73,4
2025-11-08,North,P007,579.1,141.87,3
2025-11-06,West,P002,1778.56,145.38,10
2025-11-12,North,P009,1638.74,194.12,7
2025-11-06,South,P012,397.74,114.73,3
2025-11-10,North,P017,856.32,188.54,4
2025-11-12,West,P006,1118.0,80.55,10
2025-11-07,South,P014,885.98,105.09,7
2025-11-11,West,P014,2006.44,177.14,9
2025-11-06,North,P017,1520.95,142.23,8
2025-11-07,West,P013,1157.98,103.73,8
2025-11-09,North,P018,160.02,62.46,2
2025-11-06,East,P012,1119.35,193.63,4
2025-11-12,North,P020,1776.36,172.93,7
2025-11-06,East,P014,1458.37,128.26,9
2025-11-09,North,P009,518.47,100.05,4
2025-11-09,South,P003,374.66,108.81,3
2025-11-07,South,P009,620.95,136.44,4
2025-11-10,South,P004,1476.8,174.07,6
2025-11-09,South,P005,369.24,138.99,2
2025-11-11,East,P016,1081.54,130.63,6
2025-11-08,North,P013,1504.04,130.28,9
2025-11-12,West,P020,325.52,134.04,2
2025-11-11,North,P015,677.01,161.26,3
2025-11-08,East,P012,1103.0,108.05,9
2025-11-12,East,P017,1048.85,110.82,8
2025-11-11,South,P016,421.1,87.81,4
2025-11-12,North,P002,660.08,91.43,5
2025-11-06,West,P011,339.45,63.02,4
2025-11-11,West,P016,91.21,79.6,1
2025-11-11,North,P015,629.78,174.97,3
2025-11-07,West,P009,378.77,160.85,2
2025-11-08,South,P018,618.97,96.06,5
2025-11-12,South,P013,2089.53,183.48,9
2025-11-09,West,P012,1785.0,174.74,7
2025-11-09,East,P019,541.03,75.32,6
2025-11-12,North,P018,1623.8,129.24,9
2025-11-09,North,P002,219.48,75.91,2
2025-11-12,East,P010,2486.06,184.77,9
2025-11-06,East,P017,438.05,89.65,4
2025-11-08,South,P008,1966.98,174.96,8
2025-11-12,East,P020,768.43,112.74,5
2025-11-08,North,P010,265.44,108.94,2
2025-11-10,East,P003,804.34,85.53,8
2025-11-12,South,P009,265.55,74.27,3
2025-11-06,West,P015,519.03,147.34,3
2025-11-11,East,P008,812.06,60.21,9
2025-11-06,East,P008,1654.27,176.67,8
2025-11-10,South,P012,153.15,117.83,1
2025-11-10,West,P014,511.42,51.99,8
2025-11-09,West,P012,431.67,53.58,7
2025-11-12,West,P002,779.35,182.17,3
2025-11-06,South,P010,2275.89,152.36,10
2025-11-06,West,P002,1338.32,142.68,8
2025-11-08,West,P001,2205.66,200.0,8
2025-11-09,South,P018,1087.24,164.54,5
2025-11-11,East,P010,1104.3,195.72,4
2025-11-09,North,P013,1970.66,172.49,8
2025-11-10,West,P012,1741.08,149.07,8
2025-11-08,West,P001,1464.09,161.27,8
2025-11-08,East,P004,511.48,119.47,3
2025-11-11,North,P008,764.3,146.01,4
2025-11-07,South,P007,141.89,121.44,1
2025-11-06,West,P016,284.63,123.55,2
2025-11-06,West,P012,827.93,78.11,9
2025-11-11,East,P002,601.9,86.82,5
2025-11-11,South,P006,755.48,51.14,10
2025-11-10,North,P020,216.52,179.0,1
2025-11-08,South,P008,147.64,120.02,1
2025-11-12,South,P019,906.82,152.31,5
2025-11-10,South,P015,223.18,62.68,3
2025-11-08,East,P020,1717.64,169.27,7
2025-11-12,East,P017,2278.1,185.89,9
2025-11-08,West,P012,1364.71,147.28,7
2025-11-06,West,P005,1618.74,180.58,7
2025-11-12,South,P018,2239.1,150.03,10
2025-11-06,East,P007,668.18,66.58,7
2025-11-11,South,P018,107.93,74.38,1
2025-11-09,South,P008,377.91,131.46,2
2025-11-09,East,P014,907.46,100.94,8
2025-11-09,South,P004,435.48,181.47,2
2025-11-10,North,P012,1658.85,145.61,8
2025-11-10,East,P010,1161.09,146.85,6
2025-11-09,South,P004,922.09,136.35,5
2025-11-06,West,P007,88.64,67.86,1
2025-11-08,North,P014,147.18,114.44,1
2025-11-11,North,P001,190.99,134.87,1
2025-11-06,West,P003,409.32,72.7,4
2025-11-12,West,P010,2492.55,199.89,10
2025-11-12,North,P006,1326.71,185.28,5
2025-11-09,East,P004,1982.49,191.83,8
2025-11-06,South,P014,2491.59,188.49,9
2025-11-12,West,P014,612.57,106.05,5
2025-11-12,South,P008,2478.95,186.37,10
2025-11-12,West,P017,463.2,190.79,2
2025-11-08,North,P009,485.1,98.89,4
2025-11-06,East,P013,718.94,121.02,4
2025-11-07,North,P003,207.87,60.79,3
2025-11-08,West,P019,1371.87,187.24,6
2025-11-07,East,P010,2277.72,177.82,9
2025-11-12,North,P011,945.1,182.45,4
2025-11-12,South,P006,463.39,155.12,2
2025-11-11,East,P006,1113.32,121.82,7
2025-11-06,East,P007,1191.51,86.88,10
2025-11-09,West,P006,598.1,62.1,7
2025-11-11,South,P015,1410.79,135.32,8
2025-11-08,East,P020,456.42,101.79,4
2025-11-07,North,P015,884.24,66.23,9
2025-11-12,South,P005,1698.28,187.27,8
2025-11-06,North,P020,771.15,85.59,8
2025-11-10,East,P011,130.78,112.93,1
2025-11-07,South,P002,1968.06,199.87,7
2025-11-08,South,P017,1906.76,130.11,10
2025-11-11,North,P002,1799.54,148.77,9
2025-11-07,West,P014,1249.98,148.61,6
2025-11-06,South,P011,1073.53,84.45,10
2025-11-07,East,P005,1641.78,148.94,10
2025-11-08,North,P010,1270.35,110.05,9
2025-11-11,North,P010,1071.75,109.28,8
2025-11-09,South,P018,492.61,121.06,3
2025-11-09,North,P010,477.42,117.58,3
2025-11-11,North,P018,148.87,53.26,2
2025-11-11,East,P004,931.54,192.59,4
2025-11-11,South,P012,1185.48,103.18,8
2025-11-10,West,P004,2570.69,185.87,10
2025-11-12,North,P008,1501.91,170.19,8
2025-11-12,East,P014,1135.74,137.49,7
2025-11-10,West,P004,614.12,71.68,6
2025-11-10,West,P010,1665.58,196.37,7
2025-11-09,East,P012,1048.64,102.73,7
2025-11-06,West,P017,146.97,116.81,1
2025-11-11,West,P009,343.15,155.81,2
2025-11-07,South,P018,238.54,86.89,2
2025-11-06,North,P004,2296.57,185.33,9
2025-11-11,North,P016,1437.1,181.21,7
2025-11-07,West,P006,1083.23,91.05,10
2025-11-09,South,P003,353.82,125.87,2
2025-11-06,South,P016,498.46,183.43,2
2025-11-06,East,P013,463.42,130.42,3
2025-11-12,East,P017,992.02,99.9,9
2025-11-06,East,P015,1258.65,178.6,6
2025-11-06,West,P012,1280.08,181.7,6
2025-11-07,North,P016,2187.41,187.15,10
2025-11-07,North,P014,1355.15,145.86,8
2025-11-09,East,P010,1043.37,141.85,5
2025-11-08,West,P015,203.08,70.97,2
2025-11-06,East,P010,1347.92,140.64,7
2025-11-08,East,P015,489.72,67.59,6
2025-11-11,North,P011,1498.01,171.44,6
2025-11-12,East,P015,1213.86,117.7,7
2025-11-08,West,P006,2126.93,164.3,10
2025-11-09,South,P008,599.48,102.97,5
2025-11-11,North,P020,792.06,69.8,8
2025-11-12,South,P008,1875.09,185.12,7
2025-11-09,North,P011,775.63,174.96,3
2025-11-09,North,P003,203.75,185.21,1
2025-11-07,North,P001,179.51,74.67,2
2025-11-07,East,P018,563.77,162.31,3
2025-11-12,South,P020,295.12,101.63,2
2025-11-10,North,P009,760.22,124.87,5
2025-11-10,East,P001,923.37,89.78,8
2025-11-12,South,P009,477.62,104.53,4
2025-11-12,North,P011,230.98,79.86,2
2025-11-12,West,P017,1013.98,89.92,10
2025-11-09,West,P001,2076.8,175.45,8
2025-11-07,South,P020,512.41,101.34,4
2025-11-11,South,P002,193.53,146.31,1
2025-11-07,West,P010,1285.24,147.33,6
2025-11-10,North,P008,1380.88,168.67,7
2025-11-08,North,P012,67.17,51.04,1
2025-11-11,North,P004,1730.17,120.95,10
2025-11-12,North,P020,915.65,153.46,5
2025-11-10,East,P013,1329.86,170.7,6
2025-11-12,North,P010,845.41,111.02,6
2025-11-08,North,P006,1150.01,157.44,6
2025-11-11,West,P006,200.52,86.81,2
2025-11-06,South,P020,1076.17,107.44,9
2025-11-10,North,P007,334.4,118.99,2
2025-11-11,West,P019,1371.0,191.01,5
2025-11-12,North,P014,911.83,88.22,7
2025-11-10,North,P003,540.07,195.14,2
2025-11-09,East,P012,968.51,121.3,6
2025-11-10,North,P002,198.11,132.35,1
2025-11-09,West,P008,1215.67,103.75,10
2025-11-12,North,P016,2117.74,181.01,10
2025-11-12,East,P007,839.02,134.46,5
2025-11-09,East,P014,994.07,76.65,10
2025-11-10,West,P007,1862.69,186.0,7
2025-11-12,West,P004,2392.89,187.55,9
2025-11-12,South,P001,300.68,56.8,4
2025-11-09,South,P017,2234.71,171.86,9
2025-11-10,East,P007,739.32,59.29,9
2025-11-09,East,P011,269.88,55.14,4
2025-11-08,East,P013,1074.03,162.6,5
2025-11-08,West,P016,861.66,167.17,4
2025-11-06,North,P011,1141.36,106.68,8
2025-11-07,East,P010,683.86,92.83,6
2025-11-09,West,P018,1037.17,96.46,9
2025-11-11,East,P007,653.62,121.63,4
2025-11-10,East,P001,660.92,66.0,7
2025-11-07,South,P006,1020.37,74.75,10
2025-11-11,South,P015,1220.11,84.51,10
2025-11-12,West,P012,743.78,64.83,10
2025-11-08,West,P008,356.12,95.74,3
